Requirements,Classification
The system should provide or store items and quantities in a shopping cart until the end user is ready to purchase them.,Functional
"The system should calculate the total of the purchase, and include applicable taxes.",Functional
The system should accept credit cards as a form of payment.,Functional
"The system should confirm to the end user once the order has been processed, and provide a confirmation number.",Functional
The system should allow the user to register and should accept the details from the user,Functional
The system should allow the user to make changes to cart ,Functional
The sytsem should allow the user to cancel an order,Functional
The system should allow the librarian to login ,Functional
The system should allow the librarian to update the library records,Functional
The system should allow the user to view the number of books available in each category,Functional
The system should allow the librarian to add books and their information,Functional
The system should allow the librarian to edit the information of existing books,Functional
The system should allow the librarian to view the number of books available in each category,Functional
The system should allow the librarian to add books and their information,Functional
The system should allow the librarian to edit the information of existing books,Functional
The system should allow the librarian to issues books,Functional
The system should allow the user to check book availability,Functional
The system should allow the user to serach for any book ,Functional
The system should allow the student to see the list of issued books,Functional
The system should allow the user to feed their health related details,Functional
The system should provide the list of doctors names,Functional
The system should allow the user to order medicines,Functional
The system should provide the payment options,Functional
The system should allow the user to check for the availability of medicines,Functional
The system should allow the admin to update the medicine details,Functional
The system should provide the doctor details,Functional
The system should allow the user to give feedback,Functional
The system should allow the user to provide ratings,Functional
The system should allow the user to provide reviews,Functional
The system should allow the user to chat or have conversation with doctors,Functional
The system should allow the user to make calls to the doctors,Functional
The system should allow the user to make video calls to the doctors,Functional
The system should allow the user to sort the appointments on the basis of first come first serve basis,Functional
The system should allow input of patient data ,Functional
The system should request username and password for access to data,Functional
The system should require high levels of error correction and input validation,Functional
The system should allow browsing by the physician of historical medical information of his/her patients only,Functional
The system should identify the patient by a unique numeric identifier derived from a function performed on the patient’s birth date,Functional
"The system should retrieve, update, and store data from multiple input locations including but not limited to hospital workstations, physician workstations, inbound emergency vehicles, and electronic monitoring equipment",Functional
"The system should allow patient to view their own medical record online allowing changes only to address, phone number, and insurer after initial input",Functional
The system should display the correct patient name,Functional
The system should display the correct time of day in compliance with ISO 8601,Functional
The system should operate without interruption twenty-four hours a day,Functional
The system should allow input of diagnostic imagery,Functional
The system should retrieve and sort medical record information and allow for screen and print output of said information,Functional
The system should provide access to the complete medical record ,Functional
"The system should be organized in way that guides consumers to the most important information in their medical record including diagnosis, medications and results",Functional
The system allows consumers to identify and edit or annotate information in their medical record that is out of date or incorrect,Functional
The system allows consumers to manage their prescriptions,Functional
The system provides access to the medical record in case of an emergency,Functional
The system allows consumers to record and share their treatment goals and concerns with healthcare providers,Functional
The system should estimate stocks needs based on past consumption,Functional
The system should estimate stocks based on minimum quantity threshold ,Functional
The system should estimate stocks based on aggregating requisitions by intermediate levels,Functional
The system should estimate stocks based on target populations,Functional
The system should enable flexible order point based on user-defined criteria ,Functional
The system should display past consumption data ,Functional
The system should display current available and usable on-hand quantity of each stock item ,Functional
The system should display open order in transit inbound ,Functional
The system should display open outbound orders and projected usage ,Functional
The system should display current stock levels at all relevant levels ,Functional
The system should display expiry dates for on-hand stock ,Functional
The system should display lead time for order fulfillment ,Functional
The system should validate order by the originator ,Functional
The system should generate item cost at time requisition,Functional
The system should generate the the calculate order cost at time requisition ,Functional
The system should display minimum quantity order increments ,Functional
The system should print the requisition ,Functional
The system should submit requisition ,Functional
The system should maintain order status,Functional
